nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
216,75,20,94,363.65136300000006,0.010028340038843453,0.07183520193211734,greedy_done,70.58105271309572,363.60489900000067
216,75,40,114,363.36358200000006,0.014448553905822337,0.0898468280211091,greedy_done,71.14789587641928,363.2770230000011
216,75,60,134,363.50648400000006,0.019534958992153406,0.10622829792555422,greedy_done,71.5316569015471,363.492084000001
216,75,80,154,363.61829700000004,0.02566367096733302,0.12178562197368592,greedy_done,71.80013631147487,363.5898690000012
216,75,100,174,363.701766,0.03321396897081286,0.13661863608285785,greedy_done,72.0083133875196,363.68789700000104
216,60,20,79,284.84605200000004,0.007030677981674671,0.05544522905256599,greedy_done,69.23452177412258,284.6601840000002
216,60,40,99,284.98284300000006,0.010782649042084813,0.07050806505139917,greedy_done,69.77740217014228,284.90918400000044
216,60,60,119,284.913672,0.015701732016168535,0.08603101898916066,greedy_done,70.18356632554752,284.89488300000005
216,60,80,139,284.62503000000004,0.021289778989739716,0.09950989403296262,greedy_done,70.46675577322036,284.6048639999999
216,60,100,159,284.41707900000006,0.027421363978646696,0.11266841704491526,greedy_done,70.65527251726553,284.33851799999974
216,45,20,64,212.01221400000003,0.004629992065019906,0.039517762954346836,greedy_done,67.60400335767646,211.9766669999999
216,45,40,84,211.89080100000004,0.007903725956566632,0.05246012797579169,greedy_done,68.19942927728015,211.825704
216,45,60,104,211.97301900000002,0.011952180997468531,0.06548628304153681,greedy_done,68.57709822354637,211.89602700000006
216,45,80,124,212.05096200000003,0.016838242998346686,0.07905176992062479,greedy_done,68.86991301985317,211.99114199999994
216,45,100,144,211.803996,0.022987476084381342,0.09059139993041754,greedy_done,69.05785928064722,211.76586300000002
216,30,20,49,140.257068,0.0028442800976336002,0.025806656922213733,greedy_done,65.31885984319725,140.18463000000006
216,30,40,69,139.83263399999998,0.005510214017704129,0.03666261304169893,greedy_done,66.03398122221287,139.7187060000001
216,30,60,89,139.567146,0.008818891015835106,0.047327940934337676,greedy_done,66.3839409741355,139.50964200000013
216,30,80,109,139.583682,0.013242269051261246,0.05825777992140502,greedy_done,66.63156066066402,139.5118020000001
216,30,100,129,139.769022,0.01800228503998369,0.06891961093060672,greedy_done,66.8392472186855,139.74547500000025
216,15,20,34,66.97742699999999,0.0013962869998067617,0.01280547899659723,greedy_done,61.49282416043661,66.94797000000005
216,15,40,54,66.78121199999998,0.0032783529022708535,0.021518944995477796,greedy_done,62.309822334710624,66.72781200000001
216,15,60,74,66.51276899999999,0.006238050060346723,0.029275008011609316,greedy_done,62.58138141813518,66.47832600000001
216,15,80,94,66.31206599999999,0.01003267103806138,0.03650356293655932,greedy_done,62.7348603426937,66.29069400000004
216,15,100,114,66.02428499999999,0.014193732989951968,0.043633464025333524,greedy_done,62.886252124827514,66.00490200000002
216,5,20,24,18.734414999999995,0.0007517760386690497,0.0047739950241521,greedy_done,55.299250297394096,18.71303700000001
216,5,40,44,18.736274999999992,0.00227859104052186,0.00930421194061637,greedy_done,55.89541530155774,18.530016000000007
216,5,60,64,18.306644999999993,0.004597345017828047,0.013427561963908374,greedy_done,56.05032073290842,18.279429
